love,sex,6.77,Love,Sex
tiger,cat,7.35,Tiger,Cat
tiger,tiger,10.00,Tiger,Tiger
book,paper,7.46,Book,Paper
computer,keyboard,7.62,Computer,Computer_keyboard
computer,internet,7.58,Computer,Internet
plane,car,5.77,Airplane,Car
train,car,6.31,Train,Car
telephone,communication,7.50,Telephone,Communication
television,radio,6.77,Television,Radio
media,radio,7.42,Media_(communication),Radio
drug,abuse,6.85,Drug,Abuse
bread,butter,6.19,Bread,Butter
cucumber,potato,5.92,Cucumber,Potato
doctor,nurse,7.00,Doctor_(title),Nursing
professor,doctor,6.62,Professor,Doctor_(title)
student,professor,6.81,Student,Professor
smart,student,4.62,Intelligence,Student
smart,stupid,5.81,Intelligence,Stupidity
company,stock,7.08,Company,Stock
stock,market,8.08,Stock,Market_(economics)
stock,phone,1.62,Stock,Telephone
stock,CD,1.31,Stock,Compact_disc
stock,jaguar,0.92,Stock,Jaguar
stock,egg,1.81,Stock,Egg
fertility,egg,6.69,Fertility,Egg
stock,live,3.73,Stock,Live_television
stock,life,0.92,Stock,Life
book,library,7.46,Book,Library
bank,money,8.12,Bank,Money
wood,forest,7.73,Wood,Forest
money,cash,9.15,Money,Cash
professor,cucumber,0.31,Professor,Cucumber
king,cabbage,0.23,Monarch,Cabbage
king,queen,8.58,Monarch,Queen_regnant
king,rook,5.92,Monarch,Rook_(bird)
bishop,rabbi,6.69,Bishop,Rabbi
Jerusalem,Israel,8.46,Jerusalem,Israel
Jerusalem,Palestinian,7.65,Jerusalem,Palestinian_people
holy,sex,1.62,Sacred,Sex
fuck,sex,9.44,Fuck,Sex
Maradona,football,8.62,Diego_Maradona,Football
football,soccer,9.03,Football,Association_football
football,basketball,6.81,Football,Basketball
football,tennis,6.63,Football,Tennis
tennis,racket,7.56,Tennis,Racket_(sports_equipment)
Arafat,peace,6.73,Yasser_Arafat,Peace
Arafat,terror,7.65,Yasser_Arafat,Terror
Arafat,Jackson,2.50,Yasser_Arafat,Michael_Jackson
law,lawyer,8.38,Law,Lawyer
movie,star,7.38,Film,Star
movie,popcorn,6.19,Film,Popcorn
movie,critic,6.73,Film,Critic
movie,theater,7.92,Film,Theatre
physics,proton,8.12,Physics,Proton
physics,chemistry,7.35,Physics,Chemistry
space,chemistry,4.88,Space,Chemistry
alcohol,chemistry,5.54,Alcohol,Chemistry
vodka,gin,8.46,Vodka,Gin
vodka,brandy,8.13,Vodka,Brandy
drink,car,3.04,Drink,Car
drink,ear,1.31,Drink,Ear
drink,mouth,5.96,Drink,Mouth
drink,eat,6.87,Drink,Eating
baby,mother,7.85,Infant,Mother
drink,mother,2.65,Drink,Mother
car,automobile,8.94,Car,Car
gem,jewel,8.96,Gemstone,Gemstone
journey,voyage,9.29,Travel,Travel
boy,lad,8.83,Boy,Boy
coast,shore,9.10,Coast,Shore
asylum,madhouse,8.87,Right_of_asylum,Psychiatric_hospital
magician,wizard,9.02,Magician_(paranormal),Magician_(fantasy)
midday,noon,9.29,Noon,Noon
furnace,stove,8.79,Furnace,Stove
food,fruit,7.52,Food,Fruit
bird,cock,7.10,Bird,Rooster
bird,crane,7.38,Bird,Crane_(bird)
tool,implement,6.46,Tool,Implementation
brother,monk,6.27,Brother,Monk
crane,implement,2.69,Crane_(bird),Implementation
lad,brother,4.46,Boy,Brother
journey,car,5.85,Travel,Car
monk,oracle,5.00,Monk,Oracle
cemetery,woodland,2.08,Cemetery,Woodland
food,rooster,4.42,Food,Rooster
coast,hill,4.38,Coast,Hill
forest,graveyard,1.85,Forest,Cemetery
shore,woodland,3.08,Shore,Woodland
monk,slave,0.92,Monk,Slavery
coast,forest,3.15,Coast,Forest
lad,wizard,0.92,Boy,Magician_(fantasy)
chord,smile,0.54,Chord_(music),Smile
glass,magician,2.08,Glass,Magician_(paranormal)
noon,string,0.54,Noon,String_(music)
rooster,voyage,0.62,Rooster,Travel
money,dollar,8.42,Money,Dollar
money,cash,9.08,Money,Cash
money,currency,9.04,Money,Currency
money,wealth,8.27,Money,Wealth
money,property,7.57,Money,Property
money,possession,7.29,Money,Ownership
money,bank,8.50,Money,Bank
money,deposit,7.73,Money,Deposit_(finance)
money,withdrawal,6.88,Money,Drug_withdrawal
money,laundering,5.65,Money,Money_laundering
money,operation,3.31,Money,Operation_(mathematics)
tiger,jaguar,8.00,Tiger,Jaguar
tiger,feline,8.00,Tiger,Felidae
tiger,carnivore,7.08,Tiger,Carnivore
tiger,mammal,6.85,Tiger,Mammal
tiger,animal,7.00,Tiger,Animal
tiger,organism,4.77,Tiger,Organism
tiger,fauna,5.62,Tiger,Fauna
tiger,zoo,5.87,Tiger,Zoo
psychology,psychiatry,8.08,Psychology,Psychiatry
psychology,anxiety,7.00,Psychology,Anxiety
psychology,fear,6.85,Psychology,Fear
psychology,depression,7.42,Psychology,Depression_(mood)
psychology,clinic,6.58,Psychology,Clinic
psychology,doctor,6.42,Psychology,Doctor_(title)
psychology,Freud,8.21,Psychology,Sigmund_Freud
